,Dominant_Topic,Topic_Keywords,Num_Sentences,Perc_Sentences
0.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",207.0,0.0673
1.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",121.0,0.0393
2.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",231.0,0.0751
3.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",242.0,0.0787
4.0,7.0,"change, update, policy, make, description, object, section, field, security, information",160.0,0.052
5.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",251.0,0.0816
6.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",269.0,0.0875
7.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",228.0,0.0741
8.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",169.0,0.055
9.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",230.0,0.0748
10.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",191.0,0.0621
11.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",278.0,0.0904
12.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",256.0,0.0833
13.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",242.0,0.0787
14.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
15.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
16.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
17.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
18.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
19.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
20.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
21.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
22.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
23.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
24.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
25.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
26.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
27.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
28.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
29.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
30.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
31.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
32.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
33.0,5.0,"security, add, context, change, server, implement, container, include, flag, true",,
34.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
35.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
36.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
37.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
38.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
39.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
40.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
41.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
42.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
43.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
44.0,4.0,"security, add, change, patch, code, improve, number, type, performance, validate",,
45.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
46.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
47.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
48.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
49.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
50.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
51.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
52.0,7.0,"change, update, policy, make, description, object, section, field, security, information",,
53.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
54.0,11.0,"test, change, unit, ad, provide, move, https, temp, modify, common",,
55.0,12.0,"sign, run, apply, openstack, job, depend, configure, ansible, role, node",,
56.0,9.0,"port, security, agent, disable, group, tenant, address, handle, order, ensure",,
57.0,8.0,"security, group, relate, exist, extension, introduce, current, api, merge, list",,
58.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
59.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
60.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
61.0,0.0,"group, security, instance, table, parameter, show, action, query, single, detail",,
62.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
63.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
64.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
65.0,2.0,"support, neutron, network, service, enable, driver, ca, client, plugin, command",,
66.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
67.0,3.0,"fix, check, bug, case, guide, error, fail, exception, return, message",,
68.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
69.0,1.0,"change, user, update, patch, fix, issue, close, project, commit, bug",,
70.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
71.0,6.0,"rule, group, default, create, security, method, creation, quota, duplicate, separate",,
72.0,13.0,"bug, close, commit, bf, fix, related, partial, log, step, load",,
